City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
14,Harper,LR,77.25,light rain,4.375,-7.7169,Screensaver
25,Georgetown,MY,78.89,thunderstorm,5.4112,100.3354,Cititel Penang
30,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
45,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Sokoni,TZ,77.94,clear sky,-6.4333,39.55,Ujamaa Beach Resort
62,Atuona,PF,77.61,few clouds,-9.8,-139.0333,Villa Enata
76,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
78,Dicabisagan,PH,76.87,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
82,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Tabou,CI,77.0,light rain,4.423,-7.3528,hotêl doufoulougou
93,Saint George,US,79.27,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
95,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
102,Faanui,PF,78.8,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Karratha,AU,79.2,clear sky,-20.7377,116.8463,ibis Styles Karratha
131,Takoradi,GH,77.11,overcast clouds,4.8845,-1.7554,Raybow International Hotel
144,Santa Maria,BR,79.9,clear sky,-29.6842,-53.8069,Hotel Morotin
149,Kismayo,SO,78.1,scattered clouds,-0.3582,42.5454,Agan-Hotel
160,Ambanja,MG,75.15,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
165,Minab,IR,78.3,clear sky,27.1467,57.0801,Bam campground
171,Planaltina,BR,77.29,broken clouds,-15.4528,-47.6142,Retiro Maranata
176,Esna,EG,77.02,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
182,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
184,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Bandarbeyla,SO,78.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
214,Machilipatnam,IN,79.68,broken clouds,16.1667,81.1333,R&B Bungalow
216,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
217,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
