City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Urgut,UZ,2021-10-22 18:51:41,39.4022,67.2431,37.02,63,38,2.42,scattered clouds
1,Husavik,IS,2021-10-22 18:51:41,66.0449,-17.3389,33.71,92,100,7.07,light snow
2,Pir,RO,2021-10-22 18:51:42,47.4667,22.3667,55.51,70,100,5.1,overcast clouds
3,Marawi,PH,2021-10-22 18:49:27,7.9986,124.2928,67.64,94,100,1.16,overcast clouds
4,Hithadhoo,MV,2021-10-22 18:51:43,-0.6,73.0833,81.37,75,28,8.25,scattered clouds
5,Chokurdakh,RU,2021-10-22 18:49:43,70.6333,147.9167,-13.74,99,99,2.53,overcast clouds
6,Vao,NC,2021-10-22 18:51:43,-22.6667,167.4833,72.43,80,0,1.43,clear sky
7,Sao Filipe,CV,2021-10-22 18:51:44,14.8961,-24.4956,82.81,60,0,8.32,clear sky
8,Kodiak,US,2021-10-22 18:51:44,57.79,-152.4072,42.31,61,90,16.11,overcast clouds
9,Kirksville,US,2021-10-22 18:50:52,40.1948,-92.5833,55.06,54,1,1.01,clear sky
10,Greytown,ZA,2021-10-22 18:51:45,-29.0642,30.5928,58.82,79,1,4.18,clear sky
11,Qaanaaq,GL,2021-10-22 18:49:18,77.484,-69.3632,-1.73,67,0,9.06,clear sky
12,Chuy,UY,2021-10-22 18:51:45,-33.6971,-53.4616,69.53,51,21,8.57,few clouds
13,Ushuaia,AR,2021-10-22 18:47:29,-54.8,-68.3,49.66,46,40,19.57,scattered clouds
14,Harper,LR,2021-10-22 18:51:46,4.375,-7.7169,77.25,89,100,8.1,light rain
15,Busselton,AU,2021-10-22 18:51:47,-33.65,115.3333,48.09,78,4,7.47,clear sky
16,Vardo,NO,2021-10-22 18:51:47,70.3705,31.1107,30.18,93,90,19.57,light shower snow
17,Albany,US,2021-10-22 18:51:47,42.6001,-73.9662,62.47,66,99,1.01,overcast clouds
18,Cabo San Lucas,MX,2021-10-22 18:50:45,22.8909,-109.9124,90.52,65,0,1.01,clear sky
19,Saint Anthony,US,2021-10-22 18:51:48,45.0205,-93.218,50.83,53,1,1.99,clear sky
20,Cape Town,ZA,2021-10-22 18:51:42,-33.9258,18.4232,61.27,78,75,5.99,moderate rain
21,Tiksi,RU,2021-10-22 18:51:49,71.6872,128.8694,3.7,99,100,3.13,overcast clouds
22,Tuktoyaktuk,CA,2021-10-22 18:51:49,69.4541,-133.0374,26.6,93,90,4.61,overcast clouds
23,Flinders,AU,2021-10-22 18:50:50,-34.5833,150.8552,59.81,87,4,1.01,clear sky
24,Port Alfred,ZA,2021-10-22 18:51:50,-33.5906,26.891,61.41,85,29,2.39,scattered clouds
25,Georgetown,MY,2021-10-22 18:48:12,5.4112,100.3354,78.89,91,40,5.99,thunderstorm
26,Port Macquarie,AU,2021-10-22 18:51:51,-31.4333,152.9167,59.9,100,40,0.0,scattered clouds
27,Vilhena,BR,2021-10-22 18:51:51,-12.7406,-60.1458,88.02,58,40,10.36,scattered clouds
28,Bluff,NZ,2021-10-22 18:49:56,-46.6,168.3333,49.19,80,100,3.96,overcast clouds
29,Rikitea,PF,2021-10-22 18:51:52,-23.1203,-134.9692,74.1,83,100,23.53,light rain
30,Avarua,CK,2021-10-22 18:51:52,-21.2078,-159.775,75.25,53,75,3.44,broken clouds
31,Bethel,US,2021-10-22 18:51:11,41.3712,-73.414,70.81,62,40,10.36,scattered clouds
32,Kruisfontein,ZA,2021-10-22 18:51:52,-34.0033,24.7314,58.89,88,94,2.55,overcast clouds
33,Malangali,TZ,2021-10-22 18:51:53,-8.5667,34.85,69.78,54,82,11.39,broken clouds
34,Kavieng,PG,2021-10-22 18:51:53,-2.5744,150.7967,80.01,78,100,6.76,overcast clouds
35,Sayyan,YE,2021-10-22 18:51:54,15.1718,44.3244,58.64,38,18,10.87,few clouds
36,Constitucion,CL,2021-10-22 18:48:10,-35.3333,-72.4167,57.83,59,0,20.58,clear sky
37,Hobart,AU,2021-10-22 18:51:54,-42.8794,147.3294,57.11,94,90,17.27,moderate rain
38,Hilo,US,2021-10-22 18:48:39,19.7297,-155.09,81.28,70,1,4.61,clear sky
39,Batagay-Alyta,RU,2021-10-22 18:51:55,67.8006,130.4114,6.06,97,100,2.17,overcast clouds
40,Nikolskoye,RU,2021-10-22 18:49:49,59.7035,30.7861,47.88,65,100,17.38,light rain
41,Vanavara,RU,2021-10-22 18:51:55,60.34,102.2797,34.03,83,78,6.38,broken clouds
42,Vaini,TO,2021-10-22 18:48:47,-21.2,-175.2,69.96,88,40,8.05,scattered clouds
43,Ust-Nera,RU,2021-10-22 18:51:56,64.5667,143.2,5.88,98,96,3.0,overcast clouds
44,Bijie,CN,2021-10-22 18:51:57,27.3125,105.2942,43.03,94,99,1.86,overcast clouds
45,Kapaa,US,2021-10-22 18:51:57,22.0752,-159.319,77.32,90,40,1.99,light rain
46,Adelaide,AU,2021-10-22 18:51:57,-34.9333,138.6,56.48,84,75,5.75,broken clouds
47,Sobolevo,RU,2021-10-22 18:51:58,54.4299,31.8996,43.36,67,95,14.81,overcast clouds
48,Lagoa,PT,2021-10-22 18:51:58,39.05,-27.9833,68.43,79,100,13.69,overcast clouds
49,Bredasdorp,ZA,2021-10-22 18:49:50,-34.5322,20.0403,63.28,55,100,14.97,overcast clouds
50,Guerrero Negro,MX,2021-10-22 18:49:35,27.9769,-114.0611,74.57,61,1,14.63,clear sky
51,Punta Arenas,CL,2021-10-22 18:47:34,-53.15,-70.9167,46.51,61,75,39.12,broken clouds
52,Puerto Ayora,EC,2021-10-22 18:51:59,-0.7393,-90.3518,78.76,81,78,9.8,broken clouds
53,Trabzon,TR,2021-10-22 18:52:00,40.9167,39.8333,57.29,48,0,2.3,clear sky
54,Awash,ET,2021-10-22 18:52:00,8.9833,40.1667,81.27,30,97,4.76,overcast clouds
55,Kaeo,NZ,2021-10-22 18:52:01,-35.1,173.7833,59.32,97,100,19.3,overcast clouds
56,Sokoni,TZ,2021-10-22 18:52:01,-6.4333,39.55,77.94,77,8,12.97,clear sky
57,Los Llanos De Aridane,ES,2021-10-22 18:51:52,28.6585,-17.9182,69.55,62,20,8.01,few clouds
58,Geraldton,AU,2021-10-22 18:52:02,-28.7667,114.6,54.01,94,0,10.36,clear sky
59,Benicarlo,ES,2021-10-22 18:52:02,40.4165,0.4271,63.55,67,100,1.19,overcast clouds
60,Clyde River,CA,2021-10-22 18:52:03,70.4692,-68.5914,26.83,80,90,8.05,overcast clouds
61,Sarahan,IN,2021-10-22 18:52:03,31.5167,77.8,49.35,48,22,5.57,few clouds
62,Atuona,PF,2021-10-22 18:52:03,-9.8,-139.0333,77.61,79,17,19.17,few clouds
63,Tiznit,MA,2021-10-22 18:52:04,29.5833,-9.5,63.39,80,0,3.51,clear sky
64,Ponta Do Sol,PT,2021-10-22 18:52:04,32.6667,-17.1,72.23,59,29,6.67,scattered clouds
65,Puhja,EE,2021-10-22 18:52:05,58.3419,26.3147,42.84,75,9,11.88,clear sky
66,Kilcullen,IE,2021-10-22 18:52:05,53.1303,-6.7444,50.67,88,44,5.91,scattered clouds
67,Mbekenyera,TZ,2021-10-22 18:52:05,-10.0,38.9833,71.47,83,6,4.52,clear sky
68,Margate,GB,2021-10-22 18:52:06,51.3813,1.3862,53.69,74,100,1.01,overcast clouds
69,Pailon,BO,2021-10-22 18:52:06,-17.65,-62.75,96.48,20,5,14.63,clear sky
70,Katsuura,JP,2021-10-22 18:51:07,35.1333,140.3,55.51,83,48,14.29,scattered clouds
71,Tupik,RU,2021-10-22 18:52:07,54.4253,119.9327,31.51,77,8,3.44,clear sky
72,Saint-Augustin,CA,2021-10-22 18:52:07,51.226,-58.6502,46.8,50,100,5.7,overcast clouds
73,Ushtobe,KZ,2021-10-22 18:52:08,45.2514,77.9838,39.97,57,98,1.79,overcast clouds
74,Hermanus,ZA,2021-10-22 18:49:50,-34.4187,19.2345,63.81,77,100,25.64,light rain
75,Dikson,RU,2021-10-22 18:51:53,73.5069,80.5464,16.0,83,100,14.27,overcast clouds
76,Cam Ranh,VN,2021-10-22 18:52:09,11.9214,109.1591,76.96,88,20,4.61,few clouds
77,Pacific Grove,US,2021-10-22 18:52:09,36.6177,-121.9166,62.76,90,90,1.99,overcast clouds
78,Dicabisagan,PH,2021-10-22 18:52:10,17.0818,122.4157,76.87,89,41,5.44,scattered clouds
79,Carnarvon,AU,2021-10-22 18:52:10,-24.8667,113.6333,68.07,77,0,13.8,clear sky
80,Lorengau,PG,2021-10-22 18:52:11,-2.0226,147.2712,80.91,76,99,8.55,overcast clouds
81,Upernavik,GL,2021-10-22 18:52:11,72.7868,-56.1549,19.11,91,100,10.71,overcast clouds
82,Mahebourg,MU,2021-10-22 18:52:11,-20.4081,57.7,75.25,83,75,6.91,broken clouds
83,Kampene,CD,2021-10-22 18:52:12,-3.6,26.6667,68.36,98,100,1.57,overcast clouds
84,Duvan,RU,2021-10-22 18:52:12,55.695,57.9024,44.76,87,100,18.01,light rain
85,Norman Wells,CA,2021-10-22 18:52:13,65.282,-126.8329,41.04,70,75,18.41,broken clouds
86,Rongcheng,CN,2021-10-22 18:52:13,30.634,117.8517,49.91,81,15,3.56,light rain
87,Mataura,NZ,2021-10-22 18:52:13,-46.1927,168.8643,48.56,83,100,1.43,overcast clouds
88,Moree,AU,2021-10-22 18:52:14,-29.4667,149.85,62.62,88,6,11.5,clear sky
89,Tabou,CI,2021-10-22 18:52:14,4.423,-7.3528,77.0,90,100,7.58,light rain
90,Thaba-Tseka,LS,2021-10-22 18:52:15,-29.522,28.6084,47.28,47,9,5.66,clear sky
91,Fukue,JP,2021-10-22 18:52:15,32.6881,128.8419,63.79,64,67,22.97,broken clouds
92,Thompson,CA,2021-10-22 18:49:41,55.7435,-97.8558,32.16,80,90,5.75,overcast clouds
93,Saint George,US,2021-10-22 18:52:16,37.1041,-113.5841,79.27,30,100,1.01,overcast clouds
94,Warwick,US,2021-10-22 18:49:14,41.7001,-71.4162,73.78,61,75,10.36,broken clouds
95,Grand Gaube,MU,2021-10-22 18:52:16,-20.0064,57.6608,75.38,78,87,3.0,overcast clouds
96,Tangshan,CN,2021-10-22 18:48:47,39.6333,118.1833,45.63,52,6,3.69,clear sky
97,Bathsheba,BB,2021-10-22 18:50:13,13.2167,-59.5167,86.61,66,40,23.02,scattered clouds
98,Gvarv,NO,2021-10-22 18:52:18,59.3875,9.1737,49.26,57,0,9.26,clear sky
99,New Norfolk,AU,2021-10-22 18:52:18,-42.7826,147.0587,56.75,85,100,1.28,moderate rain
100,Tasiilaq,GL,2021-10-22 18:48:58,65.6145,-37.6368,35.76,83,100,9.95,light rain
101,Santa Rosa,PH,2021-10-22 18:52:19,14.3122,121.1114,81.1,82,82,6.89,broken clouds
102,Faanui,PF,2021-10-22 18:52:19,-16.4833,-151.75,78.8,77,59,8.99,broken clouds
103,Shivrajpur,IN,2021-10-22 18:52:20,22.4167,73.65,71.89,62,0,3.62,clear sky
104,Leningradskiy,RU,2021-10-22 18:52:20,69.3833,178.4167,1.31,89,20,7.87,few clouds
105,Karratha,AU,2021-10-22 18:52:21,-20.7377,116.8463,79.2,40,5,4.7,clear sky
106,Fortuna,US,2021-10-22 18:49:02,40.5982,-124.1573,60.98,63,20,5.99,few clouds
107,Cidreira,BR,2021-10-22 18:52:21,-30.1811,-50.2056,69.31,69,2,10.09,clear sky
108,Norden,DE,2021-10-22 18:52:21,53.6,7.2,47.95,72,98,23.69,overcast clouds
109,Angoche,MZ,2021-10-22 18:52:22,-16.2325,39.9086,73.9,67,0,6.87,clear sky
110,Victoria Point,AU,2021-10-22 18:52:22,-27.5833,153.3,71.91,92,33,3.0,scattered clouds
111,Herrin,US,2021-10-22 18:50:14,37.8031,-89.0276,55.35,71,90,6.91,overcast clouds
112,Cockburn Town,TC,2021-10-22 18:52:23,21.4612,-71.1419,84.16,70,40,10.36,scattered clouds
113,Butaritari,KI,2021-10-22 18:52:23,3.0707,172.7902,81.99,79,100,17.96,light rain
114,Ribnitz-Damgarten,DE,2021-10-22 18:52:24,54.25,12.4667,50.11,68,9,27.47,clear sky
115,Kuruman,ZA,2021-10-22 18:52:24,-27.4524,23.4325,64.22,26,0,8.21,clear sky
116,Pimenteiras,BR,2021-10-22 18:52:25,-6.2453,-41.4192,90.37,40,98,2.91,overcast clouds
117,Verkhniye Achaluki,RU,2021-10-22 18:52:25,43.3469,44.6975,39.65,93,0,6.71,mist
118,Torbay,CA,2021-10-22 18:52:26,47.6666,-52.7314,54.39,70,75,14.97,broken clouds
119,Voskresenskoye,RU,2021-10-22 18:52:26,56.8381,45.4317,47.01,73,14,14.54,few clouds
120,Yellowknife,CA,2021-10-22 18:52:26,62.456,-114.3525,43.41,69,40,14.97,scattered clouds
121,Saldanha,ZA,2021-10-22 18:50:22,-33.0117,17.9442,60.85,77,100,24.25,light rain
122,Camana,PE,2021-10-22 18:52:27,-16.6228,-72.7111,65.86,70,52,8.52,broken clouds
123,Olinda,BR,2021-10-22 18:51:59,-8.0089,-34.8553,83.93,70,20,11.5,few clouds
124,Lander,US,2021-10-22 18:52:28,42.833,-108.7307,63.81,45,1,5.75,clear sky
125,Pyaozerskiy,RU,2021-10-22 18:52:28,65.8333,31.1667,31.03,79,100,18.37,overcast clouds
126,Bilibino,RU,2021-10-22 18:52:29,68.0546,166.4372,-4.05,100,100,1.45,overcast clouds
127,Alexandria,EG,2021-10-22 18:50:48,31.2156,29.9553,73.36,60,40,9.22,scattered clouds
128,Bedesa,ET,2021-10-22 18:52:29,8.9,40.7833,66.43,47,80,6.35,broken clouds
129,Nevelsk,RU,2021-10-22 18:52:30,46.6733,141.8633,23.43,72,3,2.3,clear sky
130,Havelock,US,2021-10-22 18:52:30,34.8791,-76.9013,82.4,74,40,8.99,scattered clouds
131,Takoradi,GH,2021-10-22 18:52:03,4.8845,-1.7554,77.11,89,100,9.95,overcast clouds
132,Ribeira Grande,PT,2021-10-22 18:52:31,38.5167,-28.7,72.0,73,20,9.22,few clouds
133,Collecchio,IT,2021-10-22 18:52:31,44.754,10.2184,59.36,99,0,3.91,clear sky
134,Santana Do Livramento,BR,2021-10-22 18:52:32,-30.8908,-55.5328,74.17,50,0,7.74,clear sky
135,Fort Nelson,CA,2021-10-22 18:52:32,58.8053,-122.7002,38.79,81,90,5.75,overcast clouds
136,Saint-Philippe,RE,2021-10-22 18:49:38,-21.3585,55.7679,74.79,82,24,7.38,few clouds
137,Ravar,IR,2021-10-22 18:52:33,31.2656,56.8055,57.83,30,0,4.94,clear sky
138,Thinadhoo,MV,2021-10-22 18:51:43,0.5333,72.9333,83.01,69,45,9.13,scattered clouds
139,Barrow,US,2021-10-22 18:51:42,71.2906,-156.7887,28.42,86,90,3.44,overcast clouds
140,Talnakh,RU,2021-10-22 18:52:34,69.4865,88.3972,16.84,94,100,3.96,overcast clouds
141,Bowen,AU,2021-10-22 18:52:18,-20.0167,148.2333,71.82,82,76,11.65,broken clouds
142,Tshikapa,CD,2021-10-22 18:52:34,-6.4167,20.8,71.37,94,45,1.7,scattered clouds
143,Severo-Kurilsk,RU,2021-10-22 18:50:02,50.6789,156.125,37.22,80,98,10.31,overcast clouds
144,Santa Maria,BR,2021-10-22 18:51:53,-29.6842,-53.8069,79.9,44,0,10.36,clear sky
145,Port Elizabeth,ZA,2021-10-22 18:52:35,-33.918,25.5701,61.11,77,0,5.75,clear sky
146,Port Lincoln,AU,2021-10-22 18:52:36,-34.7333,135.8667,54.16,67,22,14.56,few clouds
147,Victoria,HK,2021-10-22 18:49:20,22.2855,114.1577,68.25,77,90,3.0,overcast clouds
148,Sena Madureira,BR,2021-10-22 18:52:17,-9.0656,-68.6569,91.33,47,100,3.38,overcast clouds
149,Kismayo,SO,2021-10-22 18:52:37,-0.3582,42.5454,78.1,82,30,10.38,scattered clouds
150,Mecca,SA,2021-10-22 18:52:37,21.4267,39.8261,85.06,46,6,4.54,clear sky
151,Bath,GB,2021-10-22 18:47:59,51.3779,-2.3591,53.76,83,13,4.79,few clouds
152,Pauini,BR,2021-10-22 18:52:38,-7.7136,-66.9764,85.5,64,100,3.47,overcast clouds
153,Sanming,CN,2021-10-22 18:52:38,26.2486,117.6186,56.8,94,100,3.0,overcast clouds
154,Yerbogachen,RU,2021-10-22 18:52:38,61.2767,108.0108,32.09,91,87,6.38,overcast clouds
155,Rawah,IQ,2021-10-22 18:52:39,34.4816,41.9093,71.82,23,0,6.64,clear sky
156,Kaitangata,NZ,2021-10-22 18:52:39,-46.2817,169.8464,47.88,91,100,2.44,overcast clouds
157,Henties Bay,NA,2021-10-22 18:52:40,-22.116,14.2845,61.86,87,0,6.6,clear sky
158,Sukhumi,GE,2021-10-22 18:52:40,43.0033,41.0153,58.32,56,0,4.94,clear sky
159,Nanortalik,GL,2021-10-22 18:52:40,60.1432,-45.2371,38.86,97,100,2.28,light rain
160,Ambanja,MG,2021-10-22 18:52:41,-13.6833,48.45,75.15,88,90,1.97,overcast clouds
161,Saskylakh,RU,2021-10-22 18:48:41,71.9167,114.0833,-2.65,100,94,2.84,overcast clouds
162,Presidencia Roque Saenz Pena,AR,2021-10-22 18:52:42,-26.7852,-60.4388,90.68,26,33,9.57,scattered clouds
163,Neryungri,RU,2021-10-22 18:52:42,56.6709,124.6491,24.91,89,98,2.95,overcast clouds
164,Provideniya,RU,2021-10-22 18:50:33,64.3833,-173.3,24.55,67,100,11.48,overcast clouds
165,Minab,IR,2021-10-22 18:52:43,27.1467,57.0801,78.3,36,0,4.99,clear sky
